pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,score_comp3_coke_080
-0.938,-0.7995,-0.823529412,-1,0.75,0.733333333,0.192614392
-0.862,-0.65,-0.588235294,-1,0.75,0.733333333,0.191978255
-0.952,-0.8,-0.352941176,-1,0.75,0.733333333,0.175676961
-0.772,-0.5505,-0.352941176,-1,0.75,0.733333333,0.196568023
-0.936,-0.749,-0.823529412,-1,0.75,0.733333333,0.222491554
-0.9,-0.6505,-0.705882353,-1,0.75,0.733333333,0.206350914
-0.86,-0.5995,-0.588235294,-1,0.75,0.733333333,0.220405293
-0.952,-0.7505,-0.352941176,-1,0.75,0.733333333,0.223938845
-0.768,-0.5,-0.352941176,-1,0.75,0.733333333,0.240578531
-0.936,-0.6995,-0.823529412,-1,0.75,0.733333333,0.249595741
-0.266,0.35,0.823529412,-0.636363636,-0.75,-0.493333333,0.26465281
-0.9,-0.601,-0.705882353,-1,0.75,0.733333333,0.242079114
-0.86,-0.549,-0.588235294,-1,0.75,0.733333333,0.24841901
-0.266,0.375,0.823529412,-0.636363636,-0.75,-0.493333333,0.272543392
-0.952,-0.701,-0.352941176,-1,0.75,0.733333333,0.243144435
-0.934,-0.649,-0.823529412,-1,0.75,0.733333333,0.261658959
-0.9,-0.5505,-0.705882353,-1,0.75,0.733333333,0.26148222
-0.264,0.425,0.823529412,-0.636363636,-0.75,-0.493333333,0.310152326
-0.95,-0.6505,-0.352941176,-1,0.75,0.733333333,0.245818024
0.662,0.375,-0.588235294,-0.636363636,-0.75,0.733333333,0.105632126
0.732,0.35,-0.588235294,-0.636363636,-0.75,0.733333333,0.124043449
0.59,0.4,-0.588235294,-0.636363636,-0.75,0.733333333,0.093575298
0.51,0.425,-0.588235294,-0.636363636,-0.75,0.733333333,0.06007291
0.77,0.325,-0.588235294,-0.636363636,-0.75,0.733333333,0.140628068
-0.934,-0.5995,-0.823529412,-1,0.75,0.733333333,0.262120801
0.416,0.45,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.328,0.475,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.746,0.3,-0.588235294,-0.636363636,-0.75,0.733333333,0.154525683
-0.95,-0.6005,-0.352941176,-1,0.75,0.733333333,0.240643269
-0.982,0.5,-0.588235294,-0.636363636,-0.75,0.733333333,0.085978563
-0.95,-0.5505,-0.352941176,-1,0.75,0.733333333,0.228098127
-0.948,-0.5005,-0.352941176,-1,0.75,0.733333333,0.210921021
-0.946,-0.5,-0.352941176,-1,0.75,0.733333333,0.21051479
-0.99,0.525,-0.588235294,-0.636363636,-0.75,0.733333333,0.069726134
-0.896,-0.501,-0.705882353,-1,0.75,0.733333333,0.264198916
-0.932,-0.5495,-0.823529412,-1,0.75,0.733333333,0.248664614
-0.778,0.275,-0.588235294,-0.272727273,0.75,-0.866666667,0.315832692
-0.066,0.325,-0.117647059,-0.636363636,-0.75,-0.493333333,0.343480729
-0.76,0.4245,-0.588235294,-0.636363636,-0.75,-0.866666667,0.355730963
-0.762,0.2755,-0.588235294,-0.636363636,-0.75,-0.493333333,0.361889898
