pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,Conv,C2H4,C2,Coke,Y_C2,Y_C2H4
-0.938,-0.7995,-0.823529412,-1,0.75,0.733333333,2.074136289,29.33618218,41.01180533,12.79369613,0.850640737,0.6084724
-0.862,-0.65,-0.588235294,-1,0.75,0.733333333,1.891094377,31.862564,46.81226731,16.05991253,0.885264155,0.602551156
-0.952,-0.8,-0.352941176,-1,0.75,0.733333333,2.554459973,27.25855213,37.83959505,35.12661445,0.966597309,0.696308803
-0.772,-0.5505,-0.352941176,-1,0.75,0.733333333,2.561521069,29.81450672,44.39381133,26.56716303,1.137156831,0.763704871
-0.936,-0.749,-0.823529412,-1,0.75,0.733333333,3.574159011,27.93361882,38.2839873,15.60686869,1.368330582,0.998391954
-0.9,-0.6505,-0.705882353,-1,0.75,0.733333333,3.689297399,27.56743272,38.92652237,31.05369548,1.436115177,1.017044578
-0.86,-0.5995,-0.588235294,-1,0.75,0.733333333,3.95659504,27.63345981,39.47844885,25.16291494,1.562002349,1.0933441
-0.952,-0.7505,-0.352941176,-1,0.75,0.733333333,4.421209597,29.46282383,39.08427601,28.0081687,1.727997762,1.302613195
-0.768,-0.5,-0.352941176,-1,0.75,0.733333333,5.163747353,27.41791898,39.48183345,25.3615594,2.03874213,1.415792066
-0.936,-0.6995,-0.823529412,-1,0.75,0.733333333,6.020010061,26.72476405,35.36010454,21.56261936,2.128681851,1.608833485
-0.266,0.35,0.823529412,-0.636363636,-0.75,-0.493333333,2.724049187,45.74778931,78.35585574,10.52427103,2.134452051,1.246192283
-0.9,-0.601,-0.705882353,-1,0.75,0.733333333,6.565716027,25.82880102,35.12760132,30.79249307,2.30637855,1.695845728
-0.86,-0.549,-0.588235294,-1,0.75,0.733333333,7.095933739,25.15214682,34.63963557,30.10447476,2.458005587,1.784779672
-0.266,0.375,0.823529412,-0.636363636,-0.75,-0.493333333,3.240327975,43.20945337,76.3294689,14.51893348,2.473325134,1.400128005
